*  <closed: {JASIS, }  generators: > <closed: {Inf. Process. Manage., }  generators: > SUP_IN_POS:29 SUP_IN_NEG:0
*  <closed: {JASIS, }  generators: > <closed: {JASIS, }  generators: > SUP_IN_POS:26 SUP_IN_NEG:0
*  <closed: {ECDL, }  generators: > <closed: {SIGIR, }  generators: > SUP_IN_POS:22 SUP_IN_NEG:0
*  <closed: {CLEF, }  generators: > <closed: {Inf. Retr., }  generators: > SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {CLEF (Working Notes), }  generators: > <closed: {Inf. Retr., }  generators: > SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {TREC, SIGIR, }  generators: {SIGIR, }> <closed: {CoRR, }  generators: > SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {TREC, SIGIR, }  generators: {SIGIR, }> <closed: {SIGIR, JASIST, }  generators: {JASIST, }{SIGIR, }> SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {TREC, SIGIR, }  generators: {SIGIR, }> <closed: {SIGIR, ACM Trans. Inf. Syst., }  generators: {ACM Trans. Inf. Syst., }{SIGIR, }> SUP_IN_POS:23 SUP_IN_NEG:0
*  <closed: {TREC, SIGIR, }  generators: {TREC, }{SIGIR, }> <closed: {SIGIR, ACM Trans. Inf. Syst., }  generators: {SIGIR, }> SUP_IN_POS:23 SUP_IN_NEG:0
*  <closed: {TREC, SIGIR, }  generators: {TREC, }{SIGIR, }> <closed: {SIGIR, JASIST, }  generators: {SIGIR, }> SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {SIGIR, CIKM, }  generators: > <closed: {TREC, CIKM, }  generators: {CIKM, }{TREC, }> SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {SIGIR, Inf. Process. Manage., }  generators: {Inf. Process. Manage., }{SIGIR, }> <closed: {SIGIR, ACM Trans. Inf. Syst., }  generators: {SIGIR, }> SUP_IN_POS:23 SUP_IN_NEG:0
*  <closed: {SIGIR, Inf. Process. Manage., }  generators: {Inf. Process. Manage., }{SIGIR, }> <closed: {SIGIR, Inf. Retr., }  generators: {SIGIR, }> SUP_IN_POS:22 SUP_IN_NEG:0
*  <closed: {Inf. Process. Manage., }  generators: > <closed: {SIGIR, CIKM, SIGIR Forum, }  generators: {SIGIR, CIKM, }> SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {Inf. Process. Manage., }  generators: > <closed: {SIGIR, CIKM, ECIR, }  generators: {SIGIR, CIKM, }> SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {Inf. Process. Manage., ECIR, }  generators: > <closed: {ECIR, }  generators: > SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {Inf. Process. Manage., CIKM, }  generators: {CIKM, }> <closed: {ECIR, }  generators: > SUP_IN_POS:22 SUP_IN_NEG:0
*  <closed: {SIGIR, CIKM, }  generators: {CIKM, }{SIGIR, }> <closed: {TREC, CIKM, }  generators: {CIKM, }> SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {SIGIR, CIKM, ECIR, }  generators: {SIGIR, CIKM, }> <closed: {Inf. Retr., }  generators: > SUP_IN_POS:22 SUP_IN_NEG:0
*  <closed: {CIKM, SIGIR Forum, }  generators: > <closed: {TREC, }  generators: > SUP_IN_POS:21 SUP_IN_NEG:0
*  <closed: {SIGIR, SIGIR Forum, }  generators: {SIGIR, }> <closed: {JASIST, }  generators: > SUP_IN_POS:26 SUP_IN_NEG:0
*  <closed: {SIGIR, SIGIR Forum, }  generators: {SIGIR, }{SIGIR Forum, }> <closed: {CIKM, SIGIR Forum, }  generators: > SUP_IN_POS:24 SUP_IN_NEG:0
*  <closed: {SIGIR, SIGIR Forum, }  generators: {SIGIR, }{SIGIR Forum, }> <closed: {SIGIR, CIKM, ECIR, }  generators: {SIGIR, }> SUP_IN_POS:20 SUP_IN_NEG:0
*  <closed: {SIGIR, SIGIR Forum, }  generators: {SIGIR, }{SIGIR Forum, }> <closed: {SIGIR, Inf. Retr., }  generators: {SIGIR, }> SUP_IN_POS:30 SUP_IN_NEG:0
